sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt"
"rt_1404663949.2","| metadata type=sourcetypes | search totalCount > 0","Greg-HP","1404663949.863828",1,,,,,,,,,,,,,,,,,,,,,,,,,
"rt_1404665305.5","| metadata type=sourcetypes | search totalCount > 0","Greg-HP","1404665305.710316",1,,,,,,,,,,,,,,,,,,,,,,,,,
"1404665318.11","search host=""greg-hp""","Greg-HP","1404665318.935938",0,287,1404665319,287,287,completed,"1.616000",,,,,,,,,,,,,,,,,,,
"rt_1404665485.12","| metadata type=sourcetypes | search totalCount > 0","Greg-HP","1404665485.790616",1,,,,,,,,,,,,,,,,,,,,,,,,,
"rt_1404665616.14","| metadata type=sourcetypes | search totalCount > 0","Greg-HP","1404665616.912033",1,,,,,,,,,,,,,,,,,,,,,,,,,
"1404665627.17","search index=""mygizmostoreindex""","Greg-HP","1404665627.084250",0,8621,1404665628,8621,8621,completed,"10.324000",,,,,,,,,,,,,,,,,,,
"1404667719.22","search index=""mygizmostoreindex"" sourcetype=access_combined_wcookie","Greg-HP","1404667719.162889",0,8621,1404667719,8621,8621,completed,"4.593000",,,,,,,,,,,,,,,,,,,
"1404667736.24","|history | head 2000 | search event_count>0 OR result_count>0 | dedup search | table search","Greg-HP","1404667736.142238",0,0,1404667736,2,0,canceled,"0.079000",,,,,,,,,,,,,,,,,,,
"rt_1404668285.25","| metadata type=sourcetypes | search totalCount > 0","Greg-HP","1404668285.155399",1,,,,,,,,,,,,,,,,,,,,,,,,,
"rt_1404669379.57","| metadata type=sourcetypes | search totalCount > 0","Greg-HP","1404669379.110360",1,,,,,,,,,,,,,,,,,,,,,,,,,
"1404669389.63","search sourcetype=""access_combined_wcookie""","Greg-HP","1404669389.645976",0,287,1404669390,287,287,completed,"1.071000",,,,,,,,,,,,,,,,,,,
"1404669471.64","search index=""mygizmoindex""","Greg-HP","1404669471.598117",0,0,1404669471,0,0,completed,"0.437000",,,,,,,,,,,,,,,,,,,
"rt_1404669492.65","| metadata type=sourcetypes | search totalCount > 0","Greg-HP","1404669492.042952",1,,,,,,,,,,,,,,,,,,,,,,,,,
"1404669505.69","search index=""mygizmostoreindex""","Greg-HP","1404669505.222173",0,8621,1404669505,8621,8621,completed,"7.062000",,,,,,,,,,,,,,,,,,,
